Index,Questions,Source
1,What about me is most strange or unfamiliar?,Level 1
2,Do you think I’ve ever had my heart broken?,Level 1
3,What do you think I’d splurge on?,Level 1
4,What do you think my major is?,Level 1
5,What do you think I’m going to do in the future (work/employment)?,Level 1
6,What was your first impression of me?,Level 1
7,Do you think I was popular in high school?,Level 1
8,On a scale of 1–10; how messy do you think my car is?,Level 1
9,Do you think I like hot Cheetos?,Level 1
10,Do you think I like to read?,Level 1
11,Do you think I’m in Greek Life?,Level 1
12,Do you think I have a sibling? Older or younger?,Level 1
13,Who do you think is my favorite artist?,Level 1
14,Where do you think I grew up?,Level 1
15,What do you think my favorite Starbucks drink is?,Level 1
16,Do you think I like Taco Bell?,Level 1
17,Do you think I’m more of a morning person or a night owl?,Level 1
18,What do you think my favorite movie genre is?,Level 1
19,Do you think I’m good at keeping secrets?,Level 1
20,What do you think my go-to comfort food is?,Level 1
21,Do you think I prefer cats or dogs?,Level 1
22,What do you think my favorite season is?,Level 1
23,Do you think I’m an introvert or an extrovert?,Level 1
24,What do you think my favorite hobby is?,Level 1
25,Do you think I’ve ever traveled abroad?,Level 1
26,What do you think my dream vacation destination is?,Level 1
27,Do you think I’m good at cooking?,Level 1
28,What do you think my favorite board game is?,Level 1
29,Do you think I prefer texting or calling?,Level 1
30,What do you think my favorite ice cream flavor is?,Level 1
31,Do you think I’m organized or chaotic?,Level 1
32,What do you think my favorite sport to watch is?,Level 1
33,Do you think I like to dance?,Level 1
34,What do you think my favorite color is?,Level 1
35,Do you think I’m a planner or spontaneous?,Level 1
36,What do you think my favorite TV show genre is?,Level 1
37,Do you think I prefer coffee or tea?,Level 1
38,What do you think my favorite type of music is?,Level 1
39,Do you think I’m good at public speaking?,Level 1
40,What do you think my favorite holiday is?,Level 1
41,Do you think I like spicy food?,Level 1
42,What do you think my favorite book genre is?,Level 1
43,Do you think I’m a good driver?,Level 1
44,What do you think my favorite social media platform is?,Level 1
45,Do you think I prefer city life or country life?,Level 1
46,What do you think my favorite type of weather is?,Level 1
47,Do you think I’m more likely to binge-watch shows or watch one episode at a time?,Level 1
48,What do you think my favorite outdoor activity is?,Level 1
49,Do you think I’m good at remembering names?,Level 1
50,What do you think my favorite dessert is?,Level 1
1,Draw a picture together (30 sec),Wildcard
2,Look into each other’s eyes for 30 seconds. What did you notice?,Wildcard
3,Write a message to each other and give it to each other. Open it once you have left.,Wildcard
4,Think of your favorite childhood TV show of all time; on the count of three say it out loud (both players).,Wildcard
5,Take a selfie together.,Wildcard
6,Staring contest. The first person to blink must reveal a personal problem and ask the other for advice on how they might handle it.,Wildcard
7,Create your own question. Anything. Make it count.,Wildcard
8,Tell the other person to close their eyes and to keep them closed. (Wait 10 seconds. Describe to them in detail your favorite memory of them/two of you).,Wildcard
9,Tell the other person to close their eyes and to keep them closed. (Wait 15 seconds and kiss them).,Wildcard
10,Press shuffle on your music library. Explain the first song that comes up!,Wildcard
11,Let go of your attachment to the outcome.,Wildcard
12,Both players share something you’re most grateful for in this current moment.,Wildcard
13,Draw your current feelings; then compare.,Wildcard
14,Show the first photo in your camera roll. Explain.,Wildcard
15,Think of something that you dislike that most people don’t. On the count of 3; say it out loud.,Wildcard
16,Share a favorite memory of yours. Compare. (Both),Wildcard
17,Sing your favorite song lyrics you can think of off the top of your head. (Both),Wildcard
18,How can I add 1% more happiness to your life?,Wildcard
19,Improvise a 15-second dance routine together and perform it.,Wildcard
20,Make up a short story together; alternating one sentence at a time.,Wildcard
21,Pick an object nearby and invent a silly new use for it. Explain to each other.,Wildcard
22,"Play a quick round of ""20 Questions"" where one thinks of something and the other guesses.",Wildcard
23,Create a secret handshake that only the two of you know.,Wildcard
24,Mimic each other’s laugh for 10 seconds; then discuss what you noticed.,Wildcard
25,Choose a random word (e.g.; from a book or app) and both say the first memory it sparks.,Wildcard
26,Act out a scene from a movie you both know without speaking; then guess the movie.,Wildcard
27,Each person shares a 5-second impression of the other as an animal; then explain why.,Wildcard
28,Take turns humming a tune; the other guesses the song or makes up lyrics for it.,Wildcard
29,"Build a tiny ""sculpture"" from nearby objects (e.g.; pens; cups) in 1 minute; then compare.",Wildcard
30,Whisper a random compliment to each other at the same time; then share what you heard.,Wildcard
31,"Play ""Two Truths and a Lie"" with one round each; then guess the lie.",Wildcard
32,"Point to something in the room and tell a 10-second fictional story about its ""life.""",Wildcard
